Name,Year,Rating,Date
Little Women,2019,5,1/1/2020
Uncut Gems,2019,4.5,1/5/2020
John Mulaney & The Sack Lunch Bunch,2019,4.5,1/5/2020
Seth Meyers: Lobby Baby,2019,,1/6/2020
John Mulaney & The Sack Lunch Bunch,2019,4.5,1/9/2020
Jenny Slate: Stage Fright,2019,,1/9/2020
Black Mirror: Bandersnatch,2018,3.5,1/12/2020
Go Figure,2005,,1/15/2020
Jojo Rabbit,2019,,1/17/2020
The Swap,2016,,1/19/2020
Mike Birbiglia: The New One,2019,4.5,1/20/2020
Michelle Wolf: Joke Show,2019,3.5,1/20/2020
Knives Out,2019,5,1/24/2020
Kim Possible: So the Drama,2005,,1/25/2020
How to Build a Better Boy,2014,,1/25/2020
Parasite,2019,5,1/26/2020
Paddington,2014,5,2/1/2020
Descendants 3,2019,,2/2/2020
Lady Bird,2017,5,2/6/2020
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,3,2/7/2020
Knives Out,2019,5,2/7/2020
Booksmart,2019,4.5,2/10/2020
Miss Americana,2020,2.5,2/17/2020
The Farewell,2019,4,2/17/2020
Horse Girl,2020,4,2/18/2020
Fortune Feimster: Sweet & Salty,2020,3.5,2/18/2020
Iliza Shlesinger: Unveiled,2019,,2/19/2020
Gabriel Iglesias: One Show Fits All,2019,,2/23/2020
Portrait of a Lady on Fire,2019,5,3/6/2020
Parasite,2019,5,3/7/2020
Dolemite Is My Name,2019,3.5,3/8/2020
Pete Davidson: Alive from New York,2020,,3/11/2020
John Mulaney: Kid Gorgeous at Radio City,2018,,3/11/2020
Taylor Tomlinson: Quarter-Life Crisis,2020,,3/12/2020
Marc Maron: End Times Fun,2020,,3/14/2020
Tiffany Haddish: Black Mitzvah,2019,,3/14/2020
David A. Arnold: Fat Ballerina,2020,,3/14/2020
Toy Story 4,2019,4,3/17/2020
Horse Sense,1999,,3/19/2020
Nate Bargatze: The Tennessee Kid,2019,,3/20/2020
Hatching Pete,2009,,3/21/2020
Life Is Ruff,2005,,3/22/2020
Quints,2000,,3/23/2020
Austin Powers: International Man of Mystery,1997,4,3/28/2020
The Man Who Killed Don Quixote,2018,3.5,3/29/2020
Dave Chappelle: The Kennedy Center Mark Twain Prize,2020,,4/5/2020
Austin Powers: The Spy Who Shagged Me,1999,3.5,4/6/2020
Rosemary's Baby,1968,4.5,4/6/2020
Ingrid Goes West,2017,4.5,4/6/2020
Monty Python and the Holy Grail,1975,3.5,4/7/2020
Bathtubs Over Broadway,2018,4,4/7/2020
What We Do in the Shadows,2014,4,4/8/2020
The Death of Stalin,2017,2.5,4/9/2020
Frozen II,2019,,4/9/2020
Maria Bamford: The Special Special Special!,2012,,4/10/2020
Blazing Saddles,1974,4,4/10/2020
Scary Movie,2000,1.5,4/11/2020
Escape from New York,1981,4,4/11/2020
Fear and Desire,1953,3,4/12/2020
The Big Sick,2017,5,4/12/2020
The Evil Dead,1981,2.5,4/13/2020
Doctor Sleep,2019,4,4/14/2020
The Luck of the Irish,2001,,4/15/2020
Paths of Glory,1957,3.5,4/16/2020
Stop Making Sense,1984,5,4/16/2020
Bert Kreischer: Hey Big Boy,2020,,4/17/2020
John Mulaney: New in Town,2012,,4/17/2020
Tangerine,2015,,4/19/2020
Misery,1990,,4/19/2020
The Terminator,1984,3,4/25/2020
Paddington 2,2017,,4/25/2020
Jumping Ship,2001,,5/2/2020
The Suite Life Movie,2011,,5/7/2020
The Lonely Island Presents: The Unauthorized Bash Brothers Experience,2019,3.5,5/8/2020
Hail Caesar!,2016,3,5/16/2020
Avalon High,2010,,5/17/2020
Zenon: Girl of the 21st Century,1999,,5/17/2020
Yesterday,2019,2,5/18/2020
Zenon: The Zequel,2001,,5/20/2020
Tangled: Before Ever After,2017,,5/20/2020
You Lucky Dog,1998,,5/23/2020
Z-O-M-B-I-E-S 2,2020,,5/23/2020
Aliens,1986,4,5/24/2020
The End of the Tour,2015,3.5,5/24/2020
Moulin Rouge!,2001,4,5/24/2020
Smart House,1999,3,5/26/2020
Patton Oswalt: I Love Everything,2020,,5/26/2020
Cloud 9,2014,,5/27/2020
Midsommar,2019,4,5/27/2020
Up Up and Away,2000,,5/28/2020
Three Identical Strangers,2018,4.5,5/28/2020
Honey Boy,2019,4.5,5/29/2020
Minutemen,2008,4,5/30/2020
Swiss Army Man,2016,4.5,6/1/2020
Western Stars,2019,2.5,6/2/2020
The Lego Movie 2: The Second Part,2019,3,6/2/2020
Hannah Gadsby: Douglas,2020,,6/3/2020
Patton Oswalt: I Love Everything,2020,4,6/3/2020
The Color of Friendship,2000,,6/4/2020
Johnny Kapahala: Back on Board,2007,,6/4/2020
Jump In!,2007,,6/4/2020
Manufacturing Consent: Noam Chomsky and the Media,1992,3,6/5/2020
Alley Cats Strike,2000,,6/7/2020
Apocalypse Now,1979,4,6/8/2020
Jaws,1975,3.5,6/9/2020
The Proud Family Movie,2005,,6/9/2020
It Chapter Two,2019,2,6/10/2020
Rip Girls,2000,,6/11/2020
Buffalo Dreams,2005,,6/11/2020
Miracle in Lane 2,2000,,6/13/2020
Tiger Cruise,2004,,6/13/2020
Stepsister from Planet Weird,2000,,6/14/2020
Stuck in the Suburbs,2004,,6/14/2020
The Last Black Man in San Francisco,2019,4,6/16/2020
Ready to Run,2000,,6/20/2020
The Pervert's Guide to Ideology,2012,3.5,6/21/2020
Hairspray,1988,5,6/23/2020
Going to the Mat,2004,,6/26/2020
Eric Andre: Legalize Everything,2020,2.5,6/27/2020
Howl's Moving Castle,2004,,6/28/2020
Pride,2014,3.5,6/30/2020
Full-Court Miracle,2003,,7/2/2020
Hounded,2001,,7/4/2020
Radio Rebel,2012,4,7/5/2020
The Even Stevens Movie,2003,,7/5/2020
Jim Jefferies: Intolerant,2020,3.5,7/10/2020
Motocrossed,2001,,7/11/2020
Jett Jackson: The Movie,2001,,7/12/2020
Adventureland,2009,3,7/14/2020
